TimeStamp/Wavelength,1100,1102,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122,1124,1126,1128,1130,1132,1134,1136,1138,1140,1142,1144,1146,1148,1150,1152,1154,1156,1158,1160,1162,1164,1166,1168,1170,1172,1174,1176,1178,1180,1182,1184,1186,1188,1190,1192,1194,1196,1198,1200,1202,1204,1206,1208,1210,1212,1214,1216,1218,1220,1222,1224,1226,1228,1230,1232,1234,1236,1238,1240,1242,1244,1246,1248,1250,1252,1254,1256,1258,1260,1262,1264,1266,1268,1270,1272,1274,1276,1278,1280,1282,1284,1286,1288,1290,1292,1294,1296,1298,1300,1302,1304,1306,1308,1310,1312,1314,1316,1318,1320,1322,1324,1326,1328,1330,1332,1334,1336,1338,1340,1342,1344,1346,1348,1350
02.06.2026 10:39:19,1814.37,1812.76,1812.76,1812.82,1813.17,1812.91,1812.89,1812.69,1812.99,1813.49,1813.01,1813.26,1813.28,1813.88,1813.28,1813.81,1813.65,1814.03,1814.23,1813.85,1813.6,1813.98,1814.07,1814.49,1814.41,1814.17,1814.39,1814.72,1814.7,1814.46,1814.87,1814.58,1815,1815.66,1815.32,1815.28,1815.31,1815.27,1815.81,1815.44,1815.94,1816.41,1816.37,1816.05,1816.79,1816.58,1816.75,1817.01,1816.27,1816.44,1817.46,1817.2,1817.18,1817.19,1817.68,1818.13,1817.53,1818.01,1818.25,1817.94,1818.68,1818.32,1818.23,1818.05,1818.68,1818.58,1818.77,1818.71,1820.02,1819.17,1819.51,1819.72,1820.03,1819.71,1819.59,1820.08,1820.02,1820.62,1819.7,1820.49,1821.23,1820.94,1821.29,1821.14,1820.98,1820.74,1821.14,1822.08,1821.86,1821.9,1821.27,1821.95,1822.18,1822.61,1822.26,1822.2,1822.79,1822.62,1822.42,1823.26,1823.16,1823.31,1823.33,1822.83,1823.48,1823.82,1823.85,1823.77,1824.16,1824.23,1823.2,1823.85,1823.87,1824.09,1824.31,1824.07,1823.7,1823.99,1824.42,1824.5,1824.23,1824.47,1824.25,1824.65,1824.21,1824.22
02.06.2026 10:39:20,1811.92,1811.6,1811.48,1811.99,1812.33,1812.25,1812.17,1812.18,1812.62,1812.11,1812.17,1812.76,1812.08,1812.68,1812.79,1812.54,1813.19,1812.8,1813.03,1813.13,1813.52,1813.06,1813.51,1813.48,1813.83,1814.01,1814.05,1814.09,1813.77,1814.41,1813.89,1814.65,1814.48,1815.03,1814.68,1815.26,1815.12,1815.42,1815.53,1815.45,1815.32,1815.78,1815.68,1815.75,1815.7,1815.95,1816.73,1816.4,1816.58,1816.44,1816.62,1817.01,1816.81,1816.97,1817.59,1817.17,1817.43,1817.59,1817.72,1817.9,1817.73,1818.11,1818.14,1818.65,1818.35,1818.42,1819.03,1818.95,1818.88,1819.15,1819.18,1819.4,1819.55,1819.73,1819.8,1820.07,1820.38,1819.93,1819.92,1820.11,1820.22,1820.51,1821.04,1821.1,1820.74,1821.35,1821.11,1821.3,1821.3,1821.47,1822.23,1822.08,1822.32,1822.43,1822.38,1822.69,1822.39,1822.75,1822.78,1823.19,1822.97,1823.27,1823.63,1823.25,1823.67,1823.7,1823.5,1823.46,1823.67,1823.94,1823.74,1824.15,1824.11,1823.65,1824.47,1824.13,1824.3,1824.02,1824.32,1824.24,1824.06,1824.82,1824.56,1824.61,1824.27,1824.08
02.06.2026 10:39:21,1811.97,1812.25,1811.92,1812.03,1811.83,1812.58,1812.95,1812.12,1812.33,1813,1812.4,1812.86,1812.93,1812.97,1812.93,1813.19,1813.3,1813.54,1813.58,1813.12,1813.31,1813.49,1814.06,1813.55,1814.15,1814.17,1814.06,1814.41,1814.56,1814.61,1814.97,1814.42,1814.47,1814.59,1814.68,1815.06,1815.74,1815.25,1815.44,1815.36,1815.78,1815.69,1816.07,1815.93,1816.06,1816.32,1815.96,1816.42,1816.72,1816.52,1816.49,1817.42,1817.28,1817.22,1817.44,1817.88,1818.06,1817.89,1817.66,1818.61,1818.69,1818.18,1818,1818.79,1818.87,1818.95,1818.85,1819.12,1819.12,1819.38,1819,1819.73,1819.63,1819.29,1820.03,1819.45,1820.33,1820.19,1820.67,1820.18,1821.13,1820.36,1820.96,1821.09,1820.77,1821.29,1821.2,1822.02,1821.9,1821.57,1822.38,1821.99,1822.23,1822.12,1822.52,1822.77,1822.64,1822.9,1822.57,1822.89,1823.06,1822.85,1823.02,1822.91,1823.51,1823.65,1823.9,1824.11,1823.57,1824.1,1823.99,1824.15,1823.89,1823.81,1824.15,1824.67,1824.19,1824.38,1824.19,1824.26,1825.07,1824.66,1824.51,1824.51,1824.38,1824.46
02.06.2026 10:39:22,1811.53,1811.87,1811.88,1811.81,1812.35,1812.06,1812.46,1812.74,1812.45,1812.69,1812.98,1812.75,1812.89,1813.04,1813.2,1812.91,1812.93,1813.33,1813.39,1813.54,1813.4,1813.95,1813.59,1814.21,1813.28,1814.41,1813.25,1814.35,1814.17,1814.16,1814.39,1814.91,1814.63,1814.48,1815.12,1815.05,1815.35,1815.03,1814.93,1815.26,1815.19,1815.97,1815.69,1816.66,1816.29,1816.1,1816.36,1816.55,1816.77,1816.73,1816.9,1817.42,1817.17,1816.67,1817.16,1817.36,1817.26,1818.22,1818.12,1818.01,1818.02,1817.71,1818.22,1818.12,1818.7,1818.41,1819.21,1818.99,1819.21,1819.42,1819.29,1818.94,1819.33,1819.99,1820.3,1820.26,1819.65,1820.35,1820.44,1821.09,1821.29,1820.98,1821.18,1821.16,1820.64,1821.38,1821.21,1821.58,1821.8,1821.82,1821.79,1822.2,1822.19,1822.03,1822.3,1822.99,1822.98,1823.22,1822.57,1822.63,1823.13,1823.4,1823.66,1823.09,1823.28,1823.16,1823.77,1823.34,1823.43,1824.18,1824.16,1823.92,1824.12,1824.16,1823.69,1824.22,1824.65,1825.09,1824.72,1823.6,1824.78,1824.4,1824.44,1824.91,1824.27,1824.62
02.06.2026 10:39:23,1811.98,1812.11,1811.69,1812.17,1811.91,1812.25,1812.66,1812.41,1812.71,1811.87,1812.72,1812.9,1812.89,1812.67,1812.67,1812.61,1812.57,1813.05,1812.66,1813.1,1813.06,1813.44,1813.71,1813.78,1813.91,1814.19,1814.09,1813.95,1814.19,1814.47,1814.43,1814.85,1814.12,1814.81,1814.96,1814.41,1815.1,1815.04,1815.42,1815.2,1815.27,1815.26,1815.65,1815.42,1815.75,1815.43,1815.98,1815.94,1816.62,1816.19,1816.48,1816.56,1817.14,1816.93,1817.11,1817.18,1817.24,1817.45,1817.5,1817.6,1817.95,1818.36,1818.23,1818.16,1818.13,1818.76,1818.87,1819.52,1819.06,1819.32,1819.16,1819.61,1819.77,1819.96,1819.71,1819.8,1819.91,1820.32,1820.02,1820.55,1820.54,1820.96,1820.78,1820.72,1821.2,1821.17,1821.1,1821.49,1821.15,1821.48,1821.78,1821.78,1821.97,1821.81,1821.95,1821.84,1822.37,1822.97,1823.14,1822.24,1823.18,1823.63,1823.04,1823.13,1822.86,1824.01,1823.21,1823.9,1823.12,1823.63,1823.71,1823.89,1823.48,1824.09,1823.8,1824.31,1824.05,1824.4,1824.54,1824.57,1823.98,1824.28,1824.6,1824.46,1824.18,1824.38
02.06.2026 10:39:24,1812.32,1811.23,1812.06,1811.92,1812.2,1812.44,1811.76,1812.58,1812.22,1812.22,1812.56,1812.46,1812.8,1813.01,1812.95,1812.7,1812.64,1812.78,1813.4,1813.71,1813.44,1813.7,1813.27,1813.47,1813.92,1814.32,1814.11,1813.63,1814.44,1814.7,1814.79,1814.52,1815.32,1814.58,1815.31,1815.22,1815.07,1815.52,1815.82,1816.01,1815.55,1815.62,1815.91,1815.75,1815.88,1815.36,1816.03,1816.31,1816.41,1816.93,1817.1,1816.62,1817.1,1816.98,1817.54,1817.71,1817.67,1818.03,1817.53,1817.19,1817.8,1818.23,1818.18,1819.03,1818.59,1818.42,1818.92,1818.75,1819.24,1819.15,1818.89,1818.6,1819.41,1819.56,1820.12,1819.63,1819.98,1820.24,1820.53,1820.57,1820.83,1820.54,1820.87,1820.77,1820.82,1821.26,1821.68,1821.96,1821.57,1821.9,1821.85,1821.6,1822.09,1822.16,1822.43,1822.62,1822.11,1822.73,1822.7,1823.1,1823.02,1823.21,1823.02,1823.32,1823.56,1823.6,1823.53,1823.97,1824.05,1823.5,1823.99,1824.04,1824.18,1824.32,1824.67,1823.94,1824.65,1824.31,1824.22,1824.49,1824.54,1824.13,1824.51,1824.37,1823.85,1824.69
02.06.2026 10:39:24,1811.71,1811.58,1812.3,1812.42,1812.13,1812.18,1811.91,1812.04,1812.22,1812.16,1812.36,1812.81,1813.41,1812.89,1813.13,1812.99,1813.07,1812.93,1813.23,1813.38,1813.57,1813.32,1813.43,1813.96,1814.17,1814.26,1814.1,1814.26,1814.35,1814.42,1814.57,1814.5,1814.61,1814.66,1815.07,1815.22,1815.14,1815.05,1814.79,1815.38,1815.95,1815.83,1816.1,1816.12,1815.99,1816.47,1816.59,1816.41,1816.85,1816.82,1816.82,1817.08,1816.68,1816.94,1817.6,1817.32,1817.85,1817.84,1818.37,1817.51,1818.54,1818.45,1818.38,1818.23,1818.51,1818.73,1819.33,1819.14,1819.46,1819.41,1819.29,1819.41,1819.95,1818.92,1819.95,1820.04,1820.08,1819.52,1820.39,1820.77,1820.77,1820.73,1820.99,1820.94,1821,1821.21,1821.45,1821.31,1821.62,1821.69,1822.06,1822.01,1822.21,1822.53,1822.03,1822.67,1822.59,1822.83,1823.12,1823.05,1823.05,1823.66,1823.94,1823.39,1823.79,1823.9,1823.98,1823.91,1823.89,1823.53,1824.81,1823.91,1824.08,1823.94,1823.68,1824.35,1824.66,1824.83,1824.06,1824.71,1823.92,1824.23,1824.78,1824.39,1824.66,1824.9
02.06.2026 10:39:25,1812.03,1812.31,1812.26,1812.34,1812.42,1812.35,1812.62,1812.93,1812.56,1813.07,1813.15,1812.06,1812.92,1812.85,1813.22,1813,1813.57,1813.78,1813.85,1813.55,1813.23,1813.66,1813.35,1814.34,1813.93,1813.83,1814.27,1814.37,1814.06,1814.79,1814.88,1814.45,1815.01,1814.79,1815.21,1815.07,1815.28,1815.13,1815.73,1815.58,1815.75,1815.2,1815.95,1815.86,1816.16,1816.43,1816.4,1816.49,1817.1,1816.39,1817.19,1817.17,1816.79,1817.24,1817.65,1817.71,1817.69,1817.93,1817.78,1818.19,1817.98,1818.08,1818.8,1818.33,1818.62,1818.91,1819.06,1819.34,1819.42,1819.31,1819.62,1819.06,1819.92,1819.87,1820.67,1820.23,1820.25,1820.49,1820.72,1821.12,1821.47,1820.86,1821.17,1821.28,1821.32,1821.5,1821.85,1821.71,1821.75,1822.26,1821.93,1822.25,1822.63,1822.44,1822.48,1822.87,1822.45,1822.91,1823.52,1822.87,1824.27,1823.27,1823.51,1823.73,1823.61,1823.45,1823.51,1824.49,1823.78,1824.06,1824.73,1823.97,1824.3,1824.29,1823.94,1824.98,1824.71,1824,1824.87,1824.46,1824.85,1824.89,1824.68,1825.13,1824.72,1824.77
02.06.2026 10:39:26,1812.59,1812.18,1812.48,1812.89,1812.68,1812.81,1812.64,1812.87,1812.72,1812.64,1812.81,1812.91,1813.05,1813.1,1813.12,1814.02,1813.46,1813.78,1814.19,1813.68,1813.85,1814.13,1814.1,1814.07,1814.16,1814.02,1814.78,1814.59,1814.47,1814.77,1815.15,1815.09,1814.78,1814.88,1815.38,1815.38,1815.59,1815.58,1815.62,1815.73,1815.93,1815.9,1816.45,1816.21,1816.81,1816.58,1817.01,1816.67,1816.84,1817.42,1816.66,1816.98,1817.59,1817.57,1817.76,1817.3,1818.24,1818.33,1818.62,1818.14,1818.28,1818.8,1818.92,1818.51,1819.18,1819.07,1818.76,1819.3,1819.16,1819.43,1819.94,1819.78,1820.43,1820.25,1820.93,1820.56,1820.65,1820.77,1821.12,1820.78,1820.71,1821.28,1821.24,1821.38,1821.36,1821.59,1821.63,1821.68,1822.08,1822.26,1822.77,1822.46,1823.16,1822.3,1822.79,1823.08,1822.74,1823.31,1823.75,1823.62,1823.45,1823.42,1823.63,1823.9,1824.05,1823.94,1823.34,1824.32,1824.19,1823.75,1824.11,1824.61,1824.65,1824.57,1825.24,1825.13,1824.47,1824.98,1824.97,1825,1825.41,1824.38,1824.83,1824.51,1824.69,1825.2
