TimeStamp/Wavelength,1750,1752,1754,1756,1758,1760,1762,1764,1766,1768,1770,1772,1774,1776,1778,1780,1782,1784,1786,1788,1790,1792,1794,1796,1798,1800,1802,1804,1806,1808,1810,1812,1814,1816,1818,1820,1822,1824,1826,1828,1830,1832,1834,1836,1838,1840,1842,1844,1846,1848,1850,1852,1854,1856,1858,1860,1862,1864,1866,1868,1870,1872,1874,1876,1878,1880,1882,1884,1886,1888,1890,1892,1894,1896,1898,1900,1902,1904,1906,1908,1910,1912,1914,1916,1918,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940,1942,1944,1946,1948,1950,1952,1954,1956,1958,1960,1962,1964,1966,1968,1970,1972,1974,1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050,2052,2054,2056,2058,2060,2062,2064,2066,2068,2070,2072,2074,2076,2078,2080,2082,2084,2086,2088,2090,2092,2094,2096,2098,2100,2102,2104,2106,2108,2110,2112,2114,2116,2118,2120,2122,2124,2126,2128,2130,2132,2134,2136,2138,2140,2142,2144,2146,2148,2150
02.06.2026 11:20:37,1800.85,1797.95,1799.78,1805.08,1800.77,1800.08,1797.21,1798.75,1796.63,1797.93,1794.56,1794.97,1797.22,1796.14,1793.02,1793.16,1793.54,1791.28,1795.48,1790.87,1791.29,1789.21,1792.64,1789.92,1791.89,1790.62,1788.46,1785.72,1787.35,1784.42,1785.57,1782.44,1780.52,1784.08,1779.12,1781.37,1780.81,1776.27,1776.89,1777.39,1774.49,1772.32,1773.05,1769.33,1768.08,1761.18,1765.8,1762.69,1756.13,1756.7,1752.39,1751.1,1747.02,1745.24,1742.13,1737.28,1736.01,1733.64,1730.3,1722.85,1720.99,1716.56,1709.44,1708.15,1703.39,1701.6,1700.32,1695.68,1697.4,1689.13,1687.76,1688.74,1687.45,1686.73,1678.08,1678.34,1679.13,1680.08,1674.14,1673.59,1672.5,1672.63,1673.97,1667.08,1668.77,1669.05,1667.13,1666.48,1667.55,1662.72,1665.68,1666.7,1666.35,1661.89,1662.1,1663.92,1662.11,1663.39,1665.11,1663.44,1661.94,1663.21,1665.91,1663.58,1664.18,1662.75,1663.17,1663.14,1663.09,1661.49,1663.71,1663.19,1664.58,1663.78,1664.91,1664.85,1661.65,1664.41,1665.64,1665.64,1666.81,1662.73,1667.33,1667.03,1666.74,1668.91,1669.94,1670.23,1669.98,1669.53,1671.31,1670.73,1672.13,1671.26,1673.09,1674.67,1674.59,1673.96,1673.91,1676.89,1676.49,1677.54,1678.55,1679.87,1680.09,1677.8,1679.7,1683.39,1682.05,1680.53,1683.47,1686.64,1686.91,1684.29,1687.76,1688.61,1689.9,1690.13,1689.29,1690.9,1693.84,1693.56,1695.37,1695.79,1695.45,1699.65,1697.24,1701.23,1704.21,1700.85,1704.58,1707.76,1702.28,1704.19,1708.02,1708.45,1709.58,1708.7,1710.47,1715.18,1714.9,1714.13,1711.84,1714.52,1717.64,1719.81,1718.73,1722.28,1720.56,1721.7,1722.04,1723.76,1724.66,1725.18,1727.17,1725.2,1729.92,1730.04,1728.6,1728.01,1731.75
02.06.2026 11:20:38,1799.62,1799.57,1801.96,1799.54,1798.7,1796.01,1797.16,1796.65,1795.02,1798.76,1796.29,1794.16,1796.05,1791.89,1794.36,1791.11,1791.4,1793.29,1791.34,1789.12,1789.66,1791.25,1789.43,1789.82,1786.8,1788.93,1786.71,1788.43,1786.54,1786.96,1783.26,1786.97,1784.08,1780.91,1783.53,1780.02,1776.54,1776.95,1779.82,1778.04,1775.43,1772.17,1771.02,1768.91,1769.76,1764.23,1763.11,1760.01,1758.98,1756.6,1754,1753.28,1744.67,1743.96,1742.44,1737.07,1732.73,1730.08,1725.63,1724.39,1722.21,1713.37,1711.76,1710.91,1707.1,1705.17,1699.68,1696.56,1691.16,1687.31,1690.04,1683.39,1683.21,1680.24,1677.77,1680.25,1678.77,1671.33,1675.95,1673.7,1671.79,1666.6,1669.28,1670.93,1668.8,1665.23,1668.04,1664.98,1663.28,1664.45,1664.79,1663.23,1665.61,1662.91,1667.26,1666.24,1663.23,1665.15,1663.24,1664.22,1666.17,1664.39,1664.62,1663.31,1661.43,1659.14,1661.39,1666.7,1663.33,1662.17,1665.11,1661.81,1662.39,1661.15,1660.5,1665.96,1661.74,1665.84,1667.03,1665.93,1667.28,1666.12,1665.05,1667.15,1668.81,1666.22,1670.17,1668.81,1669.62,1670.99,1669.21,1671.64,1669.76,1672.98,1675.71,1673.29,1674.52,1671.48,1675.2,1675.53,1674.38,1675.35,1677.31,1677.83,1678.62,1676.67,1680.28,1680.84,1684.71,1681.65,1681.85,1684.39,1685.78,1684.58,1686.39,1688.88,1686.33,1692.22,1687.52,1689.25,1689.57,1694.97,1694.75,1696.3,1694.68,1695.77,1698.71,1699.29,1701.58,1699.19,1703.86,1702.89,1702.56,1705.24,1704.31,1709.26,1707.73,1710.69,1708.17,1713.83,1715.48,1715.62,1714.65,1716.93,1716.17,1721.49,1720.26,1718.07,1721.26,1721.2,1724.07,1723.81,1724.71,1724.13,1725.29,1728.91,1726.37,1729.74,1728.91,1731.98,1731.24
02.06.2026 11:20:40,1799.69,1800.16,1799.21,1803.72,1798.76,1799.3,1797.46,1799.24,1796.84,1795.06,1793.46,1793.29,1795.26,1794.34,1797.22,1793.48,1792.31,1792.3,1791,1791.21,1791.38,1788.02,1787.76,1790.75,1789.38,1788.63,1785.24,1787.66,1785.4,1785.68,1786.6,1779.91,1780.09,1781.35,1783.79,1782.24,1781.36,1776.99,1774.22,1775.02,1773.83,1772.95,1772.67,1766.5,1768.66,1763.63,1764.54,1762.29,1758.24,1754.59,1755.1,1750.21,1746.88,1742.54,1741.43,1738.85,1735.35,1730.53,1730.91,1721.68,1718.16,1716.11,1713.95,1705.61,1705.71,1703.9,1693.36,1696.55,1690.84,1685.09,1687.73,1684.81,1682.54,1683.94,1677.05,1680.54,1674.33,1675.45,1674.74,1671.65,1671.75,1671.07,1673.31,1668.01,1669.21,1667.96,1667.53,1665.78,1663.53,1663.74,1666.09,1663.3,1661.45,1665.01,1663.43,1663.55,1664.13,1660.08,1657.61,1664.11,1660.41,1664.62,1662.46,1660.1,1661.7,1662.41,1665.07,1662.92,1664.32,1665.37,1661.69,1663.81,1666.36,1664.21,1665.28,1663.5,1665.56,1665.22,1665.26,1663.25,1668.18,1664.31,1668.45,1666.86,1667.98,1668.29,1667.3,1667.13,1668.52,1668.32,1671.21,1667.25,1672.3,1670.02,1672.64,1674.27,1674.12,1670.13,1670.62,1670.35,1678.78,1675.8,1676.95,1677.97,1679.46,1675.18,1677.27,1678.82,1683.68,1680.6,1682.31,1685.34,1680.99,1687.12,1688.13,1685.28,1687.82,1685.99,1688.17,1691.03,1691.79,1690.99,1693.37,1693.43,1695.7,1695.5,1699.01,1698.07,1699.59,1702.33,1704.2,1704.39,1704.01,1706.22,1707.3,1708.82,1706.14,1709.73,1710.43,1711.01,1712.29,1714.98,1715.68,1715.63,1715.86,1716.77,1719.27,1721.27,1719.28,1721.38,1720.75,1722.73,1723.64,1721.03,1726.36,1725.21,1724.93,1729.52,1728.35,1728.7,1726.6
02.06.2026 11:20:41,1800.04,1801.51,1799.19,1801.58,1802.3,1799.49,1796.9,1794.38,1796.42,1798.14,1794.98,1798.81,1792.98,1793.83,1796.69,1793.73,1795.72,1791.18,1792.66,1789.84,1790.19,1788.79,1789.12,1789.98,1786.88,1787.05,1787.79,1787.77,1787.41,1786.06,1780.93,1783.42,1781.69,1782.89,1782.64,1780.26,1779.5,1779.56,1775.66,1776.21,1773.29,1775.41,1769.04,1771.25,1767.54,1763.04,1765.68,1763.4,1758.39,1757.36,1754.03,1753.81,1748.62,1744.01,1739.43,1737.81,1732.26,1732.09,1728.19,1722.91,1722.99,1711.98,1712.9,1704.27,1708.27,1701.32,1698.94,1696.3,1688.24,1691.49,1684.44,1686.89,1681.65,1677.78,1679.19,1676.41,1675.78,1674.46,1673.23,1673.43,1673.21,1670.04,1669.73,1669.84,1668.85,1665.23,1669.36,1666.06,1666.23,1665.81,1665.17,1662.9,1663.9,1664.24,1666.05,1663.91,1665.1,1663.36,1660.66,1664.11,1661.5,1663.5,1660.73,1663.21,1661.28,1661.36,1663.67,1662.05,1662.45,1663.08,1664.06,1662.43,1661.76,1665.84,1664.89,1664,1663.31,1667.02,1666.16,1667.54,1663.78,1666.09,1665.98,1666.28,1664.11,1666.17,1670.74,1668.25,1673.57,1670.91,1670.54,1670.73,1666.82,1669.03,1669.89,1674.04,1673.29,1676.21,1674.28,1672.9,1677.3,1676.13,1672.42,1678.07,1677.59,1680.22,1675.06,1679.85,1678.34,1680.85,1684.51,1682.04,1686.14,1686.92,1684.82,1687.01,1688.31,1688.4,1688.93,1689.16,1691.66,1693.78,1689.53,1694.03,1697.97,1696.11,1701.71,1699.35,1700.15,1696.12,1705.47,1706.07,1704.45,1709.68,1709.89,1709.65,1709.47,1707.71,1711.21,1712.65,1711.92,1713.86,1713.46,1715.96,1717.05,1716.29,1720.2,1720.93,1719.71,1719.2,1724.38,1723.41,1727.54,1723.73,1726.05,1729.9,1728.46,1728.86,1728.81,1730.29,1726.46
02.06.2026 11:20:42,1797.71,1798.49,1797.99,1796.39,1800.87,1798.32,1798.17,1798.02,1794.72,1796.68,1792.11,1797.02,1791.94,1791.91,1794.14,1790.61,1792.51,1790.11,1789.01,1791.4,1790.94,1789.08,1788.33,1793.59,1787.25,1788.09,1785.91,1783.49,1786.12,1784.14,1783.06,1785.1,1782.82,1783.53,1783.5,1780.93,1781.16,1778.7,1778.12,1775.35,1771.81,1771.91,1770.33,1769.26,1767.69,1766.01,1761.58,1757.02,1757.61,1756.64,1754.16,1750.98,1747.91,1742.48,1742.86,1743.39,1732.96,1728.78,1727.23,1724.77,1717.61,1715.26,1712.56,1708.67,1704.51,1702.52,1699.13,1693.76,1696.81,1690.37,1686.24,1686.74,1683.41,1682.36,1677.73,1679.58,1678.21,1677.15,1675.83,1673.18,1670.69,1669.7,1670.33,1669.82,1669.39,1666.93,1664.97,1662.6,1666.87,1666.19,1666.66,1661.42,1663.88,1664.04,1663.31,1663.52,1660.29,1661.71,1660.66,1662.32,1663.88,1661.02,1662.74,1658.37,1661.34,1659.88,1658.82,1663.85,1659.38,1660.26,1664.71,1664.94,1664.55,1660.9,1661.39,1665.96,1662.39,1663.07,1661.46,1667.79,1669.5,1663.8,1664.65,1664.61,1665.56,1664.08,1667.72,1667.25,1668.68,1669.5,1667.32,1670.67,1672.62,1670.88,1675.11,1668.32,1670.63,1672.95,1672.92,1673.62,1675.57,1675.14,1676.65,1676.28,1676.85,1678.7,1679.32,1679.76,1678.42,1682.04,1680.21,1683.76,1684.61,1686.02,1687.69,1689.58,1687.25,1690.07,1688.58,1689.72,1691.77,1693.14,1694.92,1691.8,1694.78,1695.13,1700.04,1696.52,1698.25,1699.5,1702.14,1702.89,1703.87,1705.59,1703.6,1706.65,1708.38,1707.45,1711.84,1710.81,1714.37,1713.74,1714.36,1714.47,1718.64,1720.08,1717.11,1720.32,1716.16,1719.11,1719.13,1726.48,1722.78,1724.34,1726.89,1727.24,1722.87,1727.45,1730.06,1730.77,1728.58
02.06.2026 11:20:43,1799.27,1797.61,1798.44,1799.83,1795.9,1799.58,1797.08,1795.27,1795.84,1793.47,1795.49,1796.51,1793.71,1795.77,1793.26,1789.89,1790.4,1791.71,1790.77,1791.15,1789.19,1789.66,1789.55,1784.31,1786.2,1786.45,1786.45,1787.62,1785.05,1784.64,1783.56,1782.85,1785.1,1780.08,1779.23,1782.15,1776.84,1773.8,1776.12,1773.13,1770.4,1773.36,1771.6,1771.79,1767.04,1765,1761.79,1758.43,1759,1758.45,1753.11,1747.86,1746.05,1744.88,1740.65,1736.62,1735.07,1731.45,1727.85,1719.13,1716.72,1710.31,1713.15,1707.21,1702.86,1697.18,1697.09,1694.19,1691.33,1692.69,1686.67,1683.57,1684.54,1683.18,1679.19,1678.62,1676.23,1673.08,1673.15,1672.18,1670.7,1670.83,1672.95,1668.18,1667.9,1667.4,1663.44,1665.71,1663.95,1663.26,1664.7,1662.85,1662.47,1663.93,1662.97,1658.71,1662,1661.7,1660.59,1661.28,1659.91,1663.02,1664.78,1662.53,1662.66,1664.52,1660.44,1660.71,1660.26,1661.5,1662.09,1661.68,1665.85,1664.34,1665.19,1666.73,1663.26,1667.88,1666.01,1665.24,1667.12,1664.97,1666.87,1668.39,1663.79,1665.59,1669.11,1668.15,1667.62,1669.12,1667.99,1672.73,1668.72,1671.65,1669.47,1671.03,1672,1674.97,1672.01,1674.75,1674.58,1676.01,1679.31,1675.51,1678.17,1677.08,1679.11,1678.24,1679.54,1678.09,1679.56,1682.3,1685.37,1684.73,1685.65,1683.59,1687.12,1690.17,1690.62,1690.22,1692.54,1693.16,1693.38,1694.49,1693.64,1696.09,1695.73,1698.46,1700.84,1703.99,1701.62,1702.22,1703.39,1702.77,1706.54,1707.97,1709.33,1710.36,1710.09,1709.78,1710.61,1714.42,1711.65,1713.81,1714.77,1718.49,1718.53,1719.54,1718.21,1722.45,1723.8,1723.88,1724.26,1727.93,1727.52,1726.92,1725.57,1725.53,1725.56,1729.87,1729.49
02.06.2026 11:20:44,1802.04,1796.88,1797.1,1800.49,1800.32,1797.82,1799.62,1796.05,1796.95,1792.71,1794.46,1792.52,1793.81,1792.8,1792.19,1793.49,1791.61,1790.86,1790.39,1786.65,1790.55,1787.62,1791.32,1790.41,1785.27,1786.91,1790.06,1784.51,1785.61,1783.87,1785.23,1780.71,1782.48,1782.09,1783.63,1781.36,1777.72,1774.33,1774.33,1772.86,1771.93,1769.58,1770.14,1768.11,1767.43,1762.54,1763.2,1757.95,1756.58,1752.51,1754.06,1748.77,1746.8,1741.28,1739.35,1738.42,1732.24,1730.53,1729.15,1720.32,1718.13,1714.37,1712.1,1705.6,1701.43,1701.21,1697.56,1692.72,1695.25,1691.2,1685.46,1685.67,1684.53,1679.77,1677.74,1675.91,1673.27,1675.23,1672.77,1674.22,1674.42,1667.76,1669.39,1668.46,1661.59,1664.5,1666.39,1666.51,1664.27,1665.8,1663.1,1664.96,1662.07,1662.57,1665.12,1660.59,1664.72,1660.06,1660.56,1660.13,1659.2,1661.35,1661.04,1664.34,1661,1663.95,1662.44,1664.64,1659.54,1661.03,1663.22,1662.74,1661.93,1663.06,1660.87,1661.09,1664.28,1663.75,1662.38,1663.69,1668.08,1665.83,1665.1,1665.57,1663.77,1663.78,1667.8,1665.27,1670.84,1666.78,1666.76,1666.17,1673.31,1672,1672.02,1675.62,1673.15,1673.83,1671.91,1671.67,1671.64,1675.89,1674.95,1677.28,1675.25,1676.46,1679.03,1678.1,1680.96,1678.9,1682.18,1681.47,1683.68,1681.09,1683.41,1688.4,1688.85,1685.8,1688.24,1693.04,1691.49,1691.09,1693.88,1695.4,1697.39,1698.85,1696.76,1698.96,1695.93,1701.09,1702.43,1701.76,1705.52,1701.72,1702.1,1705.49,1706.79,1708.62,1710.5,1710.48,1713.43,1710.53,1713.26,1717.32,1716.65,1717.18,1718.14,1718.01,1718.85,1719.55,1724.5,1722.2,1726.17,1724.57,1725.39,1723.65,1727.67,1724.72,1725.94,1723.33,1727.49
02.06.2026 11:20:45,1795.64,1798.79,1798.26,1797.31,1797.07,1795.49,1796.78,1794.5,1797.23,1797.59,1796.15,1793.88,1793.52,1790.71,1793.69,1791.41,1794.33,1790.76,1793.16,1789.81,1791.87,1789.05,1791.59,1788.3,1784.99,1787.6,1784.36,1783.92,1782.18,1782.35,1782.82,1784.79,1783.46,1780.34,1784.1,1781.02,1777.12,1778.22,1776.47,1776.36,1772.86,1769.3,1771.36,1765.05,1765.23,1765.39,1762.91,1755.7,1754.01,1758.67,1753.33,1751,1748.56,1744.08,1740.42,1735.83,1731.46,1730.65,1726.16,1723.74,1718.1,1711.84,1709.66,1707.31,1701.05,1699.38,1695.05,1695.82,1694.3,1688.68,1688.44,1685.3,1681.45,1679.98,1679.09,1677.27,1677.37,1675.27,1672.41,1672.76,1670.83,1668.62,1669.17,1670.66,1667.8,1664.93,1667.42,1666.37,1661.07,1662.63,1660.67,1665.1,1662.74,1664.52,1663.72,1663.05,1664.54,1662.17,1660.23,1657.74,1658.31,1661.22,1661.7,1661.32,1664.04,1660.88,1659.83,1660.12,1662.16,1663.69,1658.07,1664.21,1665.69,1663.3,1663.61,1659.93,1663.34,1664.22,1664.29,1665.28,1665.61,1665.19,1670.14,1664.33,1667.12,1666.66,1666.48,1670.18,1670.69,1665.98,1667.38,1667.86,1668.41,1671.49,1666.98,1673.47,1671.84,1672.77,1674.61,1673.59,1672.99,1676.02,1675.79,1676.01,1676.07,1678.25,1677.14,1681.04,1679.1,1678.51,1684.53,1680.29,1683.29,1685.76,1686.55,1684.46,1685.64,1686.01,1689.63,1691.62,1691.21,1693.85,1696.21,1693.93,1692.49,1697.67,1695.18,1699.01,1700.02,1697.45,1701.1,1705.42,1705.29,1707.26,1702.6,1706.43,1705.1,1709.02,1709.83,1709.8,1712.07,1713.65,1714.84,1714.79,1716.21,1716.16,1716.04,1718.39,1717.55,1722.01,1721.65,1723.51,1725.51,1721.34,1725.91,1726.67,1725.44,1724.39,1727.73,1729.43,1726.9
02.06.2026 11:20:46,1799.23,1797.35,1795.86,1795.84,1799.48,1794.31,1796.84,1794.62,1797.37,1795.81,1792.95,1793.15,1793.2,1796.39,1789.05,1796.03,1789.19,1790.7,1788.18,1791.28,1789.03,1788.43,1789.61,1788.96,1787.37,1786.94,1783.98,1786.55,1786.82,1788.73,1782.67,1784.03,1783.69,1782.1,1780.05,1777.02,1777.82,1778.57,1773.79,1774.48,1772.5,1771.22,1768.73,1770.38,1766.66,1764.67,1762.43,1760.06,1758.77,1753.6,1752.51,1747.86,1748.26,1744.2,1740.08,1736.45,1733.73,1729.68,1722.45,1719.67,1717.86,1714.96,1709.53,1703.9,1706.14,1698.93,1698.64,1694.51,1689.29,1690.04,1688.17,1683.17,1684.1,1681,1680.36,1677.94,1672.61,1673.31,1672.02,1668.6,1672.48,1670.56,1667.72,1666,1669.5,1666.03,1667.56,1660.61,1666.04,1665.37,1665.2,1660.96,1662.53,1663.33,1664.9,1658.77,1663.26,1660.53,1661.95,1660.4,1661.15,1662.97,1660.82,1663.5,1659.99,1659.66,1661.15,1660.32,1662.97,1662.4,1664.4,1663.9,1663.45,1663.7,1664.35,1662.83,1662.91,1663.28,1664.23,1662.2,1663.44,1667.9,1665.92,1667.78,1669.75,1666.85,1667.01,1669.14,1668.88,1666.03,1669.3,1669.46,1670.08,1671.17,1673.66,1671.64,1672.26,1673.38,1669.54,1671.21,1674.3,1672.68,1674.69,1674.19,1673.18,1676.45,1678.28,1677.46,1678.89,1683.99,1681,1682.83,1686.18,1685.39,1685.31,1684.69,1685.43,1687.37,1690.48,1692.27,1687.64,1695.27,1690.38,1693.22,1695.94,1698.76,1698.53,1697.95,1700.92,1701.13,1703.6,1703.2,1703.61,1702.91,1704.33,1705.17,1708.38,1708.94,1709.15,1711,1710.63,1708.95,1713.15,1713.91,1715.59,1717.56,1716.36,1716.66,1722.61,1721.76,1720.94,1724.02,1722.97,1723.51,1724.29,1726.17,1729.89,1729.15,1728.35,1727.9,1726.51
02.06.2026 11:20:48,1797.19,1800.33,1797.52,1800,1797.76,1798.05,1797.85,1795.19,1795.6,1795.35,1793.89,1793.14,1793.79,1793.6,1791.15,1791.19,1787.8,1788.39,1791.42,1789.03,1790.34,1789.9,1788.84,1790.16,1791.83,1784.81,1784.28,1782.96,1784.17,1785.73,1783.89,1782.38,1783.28,1781.36,1780.06,1777.22,1778.01,1776.2,1775.78,1773.25,1772.51,1769,1770.07,1768.56,1767.13,1763.38,1764.01,1761.71,1754.93,1756.89,1751.77,1753.04,1745.3,1744.59,1743.74,1738.25,1731.67,1731.8,1724.54,1721.39,1721.72,1710.08,1710.74,1706.23,1703.44,1701.94,1698.84,1695.9,1690.67,1690.07,1686.76,1685.82,1679.16,1677.98,1680,1676.83,1674.64,1678.3,1672.37,1670.07,1672.67,1666.93,1669.3,1666.59,1663.05,1666.85,1667.44,1662.74,1663.21,1665.22,1665.75,1663.3,1662.55,1664.62,1662.39,1661.55,1661.8,1662.06,1660.43,1660.21,1660.89,1659.89,1658.23,1659.79,1658.91,1662.57,1662.06,1660.55,1663.96,1663.08,1660.01,1662.77,1664.82,1662.12,1663.93,1664.46,1661.07,1663.47,1665.47,1665.85,1663.65,1664.32,1666.4,1663.7,1665.91,1666.88,1666.65,1669.31,1665.13,1668.18,1667.22,1668.1,1671.96,1673.08,1672.4,1672.62,1672.52,1670.63,1675.52,1672.77,1671.59,1671.35,1677.03,1674.4,1675.89,1677.64,1679.64,1681.03,1680.3,1680.52,1682.96,1683.12,1682.37,1685.89,1684.63,1682.55,1687.63,1687.25,1690.22,1689.58,1691.53,1689.97,1693.24,1695.95,1700.09,1694.44,1695.75,1696.23,1699.62,1701.41,1701.06,1701.83,1702.83,1705.29,1702.63,1705.09,1706.7,1708.37,1707.33,1712.28,1712.91,1712.28,1710.77,1713.93,1711.74,1718.39,1718.01,1718.19,1720.68,1717.95,1719.26,1722.24,1721.94,1722.34,1724.78,1724.98,1724.52,1723.91,1725.02,1728.98,1728.67
