TimeStamp/Wavelength,1350,1352,1354,1356,1358,1360,1362,1364,1366,1368,1370,1372,1374,1376,1378,1380,1382,1384,1386,1388,1390,1392,1394,1396,1398,1400,1402,1404,1406,1408,1410,1412,1414,1416,1418,1420,1422,1424,1426,1428,1430,1432,1434,1436,1438,1440,1442,1444,1446,1448,1450,1452,1454,1456,1458,1460,1462,1464,1466,1468,1470,1472,1474,1476,1478,1480,1482,1484,1486,1488,1490,1492,1494,1496,1498,1500,1502,1504,1506,1508,1510,1512,1514,1516,1518,1520,1522,1524,1526,1528,1530,1532,1534,1536,1538,1540,1542,1544,1546,1548,1550,1552,1554,1556,1558,1560,1562,1564,1566,1568,1570,1572,1574,1576,1578,1580,1582,1584,1586,1588,1590,1592,1594,1596,1598,1600,1602,1604,1606,1608,1610,1612,1614,1616,1618,1620,1622,1624,1626,1628,1630,1632,1634,1636,1638,1640,1642,1644,1646,1648,1650
02.06.2026 10:37:15,1215.31,1204.89,1197.17,1187.36,1177.73,1169.26,1158.17,1147.08,1138.38,1126.76,1115.29,1103.84,1093.22,1080.2,1066.24,1052.3,1037.86,1022.59,1007.56,991.55,976.41,959.81,946.26,931.2,917.33,904.32,892.42,881.39,872.8,863.16,854.83,847.61,841.64,833.06,828.52,823.29,817.76,814.69,810.75,805.98,801.99,799.26,795.09,794.2,789.85,789.08,785.34,783.34,781.95,779.73,778.9,777.78,775.89,775.41,774.43,772.53,773.4,772.93,772.62,772.19,771.53,770.36,771.44,772.05,772.31,772.77,772.51,775.26,774.67,776.39,777.63,778.94,779.46,781.63,781.91,784.09,785.93,787.57,789.65,791.74,794.25,795.85,799.3,800.26,803.88,805.38,808.23,811.42,812.47,816.16,818.26,822.16,825.84,828.38,831.93,834.61,838.28,842.31,845.83,849.96,852.9,856.17,860.97,864.46,868.27,873.17,877.97,880.1,885.42,890.64,894.35,898.91,903.53,908.69,912.1,917.8,921.98,927.14,932.01,935.82,943.79,947.25,953.27,958.56,964.58,969.06,974.01,980.16,985.25,991.19,996.32,1002.79,1007.89,1014.77,1019.89,1025.8,1032.01,1038.44,1044.59,1050.04,1055.89,1063.01,1068.05,1075.8,1082.03,1088.8,1094.18,1099.87,1105.7,1114.53,1120.03
02.06.2026 10:37:16,1213.22,1204.45,1195.94,1185.28,1176.03,1167.01,1157.44,1146.17,1136,1125.31,1115.97,1103.47,1091.53,1078.03,1065.42,1051.12,1035.96,1022.44,1005.85,990.08,974.16,959.85,945.62,929.93,918.1,903.53,891.21,881.1,871.3,862.02,852.66,846.35,839.65,833.05,826.75,821.8,817.24,812.71,808.72,804.82,801.63,798.56,794.74,792.45,789.09,787.05,784.39,782.8,780.99,779.29,777.21,775.27,774.22,775.53,774.49,772.64,771.71,772.7,771.4,771.01,770.13,770.29,770.21,771.87,771.33,772.32,772.9,773.57,774.05,775.6,776.22,777.23,778.93,779.57,781.04,783.03,785.48,787.09,787.99,790.75,792.57,795.39,797.06,799.72,802.06,805.05,807.01,809.98,811.53,814.85,817.63,821.25,823.92,826.84,831.01,834.71,837.5,840.86,844.86,848.6,851.8,855.55,860.46,863.91,868.08,872,875.85,880.93,884.52,889.52,892.79,898.14,901.92,907.27,911.44,916.15,921.58,927.18,930.92,936.93,941.36,946.69,951.01,956.59,962.79,967.43,973.97,978.82,984.7,988.83,994.18,1001.38,1007.79,1013.22,1019.24,1025.47,1030.83,1037.02,1044.15,1048.46,1054.96,1062.1,1068.2,1073.91,1080.4,1086.6,1093.93,1099.21,1106.51,1111.23,1117.49
02.06.2026 10:37:17,1211.68,1204.02,1195.04,1184.44,1174.62,1165.54,1156.18,1145.21,1134.75,1123.9,1113.67,1103.11,1090.24,1078.73,1064.26,1050.52,1036.45,1020.88,1006.1,988.93,973.48,959.16,944.18,929.61,916.13,902.98,890.73,881.61,870.26,862.35,853.92,846.37,838.96,832.62,825.6,822.6,816.2,811.3,808.47,803.53,800.93,798.1,793.3,791.43,789.1,786.56,785.29,783.04,780.34,779.48,776.75,777.04,773.13,773.55,773.53,771.86,771.57,770.42,770.72,769.1,769.09,770.01,769.14,770.36,770.19,771.54,771.3,773.1,774.15,774.21,775.71,777.94,778.1,778.23,781.41,783.37,784.86,785.17,787.54,789.63,792.69,795.4,796.04,798.54,801.9,803.53,807.46,809.44,811.68,813.14,816.98,820.93,823.49,826.99,829.3,833.21,836.36,840.89,843.91,847.04,852.15,855.11,858.43,862.78,867.87,871.51,874.74,879.36,884.27,887.63,892.88,897.54,901.03,906.93,910.87,915.65,920.09,925.95,930.43,935.81,940.02,945.7,952.13,955.85,961.85,966.31,971.92,976.81,982.7,988.81,993.89,1000.35,1006.6,1012.18,1016.73,1022.71,1030.24,1035.35,1042.49,1048.17,1055.34,1060.48,1066.34,1073.09,1079.4,1085.6,1092.55,1098.8,1104.58,1111.02,1117.38
02.06.2026 10:37:18,1210.28,1201.68,1193.45,1184.32,1175.31,1165.27,1155.67,1145.91,1134.17,1123.73,1112.91,1100.72,1089.78,1076.17,1063.73,1049.66,1035.07,1020.77,1004.26,988.67,972.74,956.67,943.47,929.29,914.01,901.61,890.11,879.73,869.6,860.66,851.5,844.92,837.97,831.4,825.97,820.22,815.31,811.11,806.49,802.68,799.31,797.61,793.29,791.17,788.38,786.25,784.01,782.11,778.49,777.65,776.34,774.67,773.7,771.72,771.79,772.03,770.28,769.1,770.02,769.14,768.71,769.84,769.13,769.34,769.2,771.09,771.07,771.94,772.32,774.04,774.89,776.78,777.6,779.06,780.29,782.88,783.53,786.2,788.01,788.9,791.28,793.7,795.63,797.11,799.95,802.84,805.31,807.73,809.56,814.1,817.28,820,824.33,825.01,828.59,832.2,835.85,839.87,843.34,846.99,850.24,853.85,857.72,861.66,865.55,870.36,874.24,878.02,882.86,887.24,891.62,895.5,901.49,906.04,911.46,914.24,919.72,924.46,929.57,934.98,939.55,945.36,950.59,954.18,960.13,965.54,971.44,976.7,982.74,988.25,992.71,999.72,1004.17,1012.29,1016.54,1023.03,1028.5,1035.38,1041.1,1047.5,1053.79,1059.37,1066.19,1071.83,1077.63,1083.69,1091.93,1097.27,1103.33,1109.51,1115.98
02.06.2026 10:37:19,1209.84,1201.65,1192.41,1182.81,1174.59,1164.22,1155.08,1143.9,1133.42,1123.55,1112.91,1101.61,1090.3,1076.24,1062.09,1048.74,1035.1,1018.76,1003.04,987.7,972.41,956.47,941.64,927.7,913.68,902.02,888.45,877.96,868.48,858.8,851.5,843.64,836,830.34,826.53,820.03,814.98,810.4,805.69,802.44,798.67,795.75,792.58,790.02,786.13,785.49,782.77,782.09,779.66,777.71,776.83,774.49,774.2,772.37,771.4,770.04,769.81,769.91,768.57,769.23,768.74,767.79,768.33,768.89,769.42,770.14,771.72,770.39,771.75,773.84,775.27,776.42,777.05,779.84,780.59,781.2,782.77,784.38,786.68,788.16,790.32,793.4,795.83,797.36,799.26,801.68,804.43,807.61,809.99,813.64,816.66,818.15,822.12,824.68,829.78,831.81,834.92,838.6,842.58,846.18,848.43,852.97,857.23,860.01,864.8,869.95,873.98,877.25,883.05,886.86,890.72,894.59,901.54,905.56,909.53,914.76,919.42,923.98,928.64,933.09,939.53,944.31,949.38,953.77,959.78,964.6,970.14,974.66,981.1,987.02,992.16,997.75,1004.14,1009.6,1015.77,1022.2,1028.34,1035.16,1041.05,1046.4,1052.5,1058.26,1066.1,1071.97,1077.06,1083.11,1091.05,1095.83,1103.09,1109.86,1115.71
02.06.2026 10:37:20,1209.86,1199.94,1191.37,1182.06,1172.61,1164,1152.87,1143.29,1133.66,1123.02,1112.1,1100.4,1088.37,1075.43,1062.38,1048.27,1033.37,1018.8,1003.06,986.27,972.02,956.61,941.68,925.4,914.31,900.97,888.61,878.75,868.48,857.79,851.32,843.22,835.76,829.64,825.4,819.07,814.23,810.57,806.49,802.46,798.9,794.95,792.03,790.32,787.25,785.37,782.88,780.07,778.3,777.62,775.44,773.51,772.35,771.56,770.76,770.19,769.69,769.36,768.1,767.6,767.64,768.23,768.78,769.31,769.17,769.83,769.92,771.77,771.97,772.53,773,775.46,776.66,776.74,779.84,781.48,782.84,783.53,785.92,787.75,790.41,792.76,793.65,797.02,798.1,802.02,804.55,806.71,809.57,812.95,815.36,819.04,822.15,824.35,827.94,830.13,835.21,838.32,841.25,845.61,848.32,852.91,856.38,859.89,863.97,868.99,873.88,877.2,880.79,887.45,890.58,894.62,899.32,904.75,908.92,913.33,918.81,922.8,926.96,932.97,937.89,943.19,948.52,953.37,958.86,964.38,969.5,974.56,980.55,986.44,992.34,998.41,1003.27,1009.29,1014.48,1021.03,1026.63,1033.58,1040.21,1045.99,1052.07,1058.4,1063.55,1070.92,1075.21,1083.44,1088.3,1095.16,1101.76,1108.16,1114.9
02.06.2026 10:37:21,1208.31,1200.2,1191.09,1181.58,1173.07,1161.47,1153.28,1142.66,1132.29,1121.44,1110.63,1099.2,1087.33,1074.42,1061.99,1047.17,1032.43,1018,1002.43,986.23,970.33,956.92,939.54,926,912.98,899.35,888.35,878.34,868.18,858.66,850.59,842.58,835.24,830.32,824.73,818.6,814.47,810.23,806.08,801.23,798.44,794.35,792.17,789.36,786.51,784.34,782.26,780.9,778.14,777.02,775.09,773.61,773.14,771.55,770.83,769.63,770.35,768.27,767.34,767.91,767.28,767.13,766.85,768.17,768.63,769.4,770.1,771.23,770.63,772.31,772.95,775.29,776.12,777.41,778.73,780.85,782.55,785.08,785.49,788.04,788.59,791.86,794.63,795.89,798.7,801.56,803.55,806.78,808.88,812.14,814.68,818.13,820.48,823.95,827.35,830.71,833.29,836.66,840.19,845.28,848.39,851.32,857.59,859.64,862.92,868.35,872.7,876.21,879.23,884.72,889.13,894.73,898.79,904.28,908.17,912.93,917.78,920.98,926.56,932.02,938.13,942.87,947.1,951.31,957.3,963.44,968.99,974.7,979.28,986.23,991.83,997.7,1002.86,1009.52,1014.92,1021.45,1025.72,1032.47,1038.52,1045.56,1050.53,1056.91,1063.43,1069.8,1076.23,1082.85,1088.56,1094.1,1101.98,1107.56,1113.35
02.06.2026 10:37:22,1207.87,1200.21,1189.26,1182.2,1171.09,1163.31,1151.8,1141.18,1131.69,1120.98,1110.66,1099.86,1087.34,1073.66,1061.88,1046.79,1031.78,1016.37,1001.61,985.65,970.58,954.24,941.49,926.9,912.22,899.03,888.02,876.34,865.54,858.51,851.15,843.28,835.38,829.29,823.29,817.91,813.72,809.61,804.9,800.98,797.75,793.83,790.88,788.53,786.24,784.99,781.53,780.2,778.42,776.43,776.02,772.7,771.99,770.81,769.43,768.59,769.74,768.4,767.83,766.81,767.81,767.16,768.13,767.32,768.21,768.5,769.55,769.97,771.91,772.36,773.67,775.03,774.84,777.39,777.32,780.06,782.46,782.64,784.76,787.42,789.57,791.28,794.22,796.32,797,800.1,803.86,805.48,809.57,810.86,814.41,817.28,820.7,822.96,827.66,830.35,832.98,836.63,840.83,844.78,848.06,851.19,855.79,858.26,863.06,867.32,872.64,876.49,880.56,884.97,889.01,892.7,898.39,903.85,908.23,911.87,917.66,922.13,927.46,931.68,936.21,941.32,948.04,952.17,957.83,963.02,968.16,974.33,978.41,983.83,989.37,996.08,1001.85,1008.83,1013.31,1020.03,1026.6,1031.25,1037.93,1044.82,1050.52,1056.37,1063.76,1069.26,1075.06,1082.14,1087.82,1094.12,1100.91,1106.7,1111.76
02.06.2026 10:37:23,1208.92,1198.98,1190.28,1181.47,1171.5,1162.43,1151.81,1141.5,1131.57,1119.93,1109.21,1098.4,1086.24,1074.25,1060.17,1046.32,1031.06,1016.64,1000.94,986,969.7,954.94,939.67,925.24,911.98,899,887.09,876.11,865.95,857.56,849.61,842.62,835.21,828.93,823.05,818,812.84,809.23,804.13,801.68,797.84,793.85,789.5,787.68,785.81,782.88,780.42,777.64,778.15,775.03,774.4,772.16,771.67,770.66,768.64,768.26,768.21,768.32,767.81,766.88,766.78,767.45,766.66,767.22,767.95,768.07,769.39,769.11,770.14,771.05,772.54,774.01,774.78,776.29,777.67,780.69,780.84,782.51,785.54,786.14,789.38,791.22,793,795.07,798.36,800.03,802.83,805.51,807.42,812.13,813.76,816.79,819.96,822.96,826.56,830.17,831.91,836.71,840.92,843.53,846.4,850.23,855.27,857.89,862.92,866.83,871.36,875.45,879.77,884.67,889.03,893.37,898.2,902.13,906.53,912.05,917.24,920.66,926.07,931.55,936.34,940.79,947.01,950.76,957.44,962.32,967.74,973.16,978.38,984.19,989.03,996.76,1002.5,1006.97,1014.08,1020.24,1026.2,1031.54,1037.27,1043.7,1049.35,1056.38,1063.13,1069.44,1074.41,1081.73,1087.66,1094.22,1100.23,1106.5,1112.96
